,Gene,Ensembl,gene,pvalue,padj
8934,GSN,ENSG00000148180,ENSG00000148180,8.08060059472e-21,1.40562047345e-16
6860,DTNA,ENSG00000134769,ENSG00000134769,1.58607723199e-19,1.37949067252e-15
6907,GOLM1,ENSG00000135052,ENSG00000135052,8.67050057426e-19,5.02744524964e-15
5640,SDCBP2,ENSG00000125775,ENSG00000125775,1.31793710574e-18,5.73137898857e-15
13300,ADGRG2,ENSG00000173698,ENSG00000173698,1.8097483185e-18,6.29611440006e-15
10825,SLC22A15,ENSG00000163393,ENSG00000163393,4.32566327367e-18,1.25408187742e-14
12499,MYO7B,ENSG00000169994,ENSG00000169994,1.18418676619e-17,2.94270411399e-14
8801,CXorf36,ENSG00000147113,ENSG00000147113,1.56327492015e-17,3.39914590451e-14
2631,TIMP1,ENSG00000102265,ENSG00000102265,2.03952967801e-17,3.94195763879e-14
3776,VWF,ENSG00000110799,ENSG00000110799,5.69469507272e-17,9.905922079e-14
2883,NIPAL2,ENSG00000104361,ENSG00000104361,1.27092738622e-16,2.00979835303e-13
4383,EFEMP1,ENSG00000115380,ENSG00000115380,1.98780241943e-16,2.65983254508e-13
10997,LIPH,ENSG00000163898,ENSG00000163898,1.86626896417e-16,2.65983254508e-13
9082,ST14,ENSG00000149418,ENSG00000149418,2.15877979041e-16,2.68228388958e-13
9876,MAPK13,ENSG00000156711,ENSG00000156711,3.75478057631e-16,4.354293875e-13
17532,GPX3,ENSG00000211445,ENSG00000211445,4.21656168765e-16,4.58419315979e-13
15520,THBS2,ENSG00000186340,ENSG00000186340,7.00770738638e-16,7.07396643758e-13
8834,GPC3,ENSG00000147257,ENSG00000147257,7.31999976294e-16,7.07396643758e-13
6162,PLVAP,ENSG00000130300,ENSG00000130300,9.99209496713e-16,9.14802589228e-13
6669,FAM83F,ENSG00000133477,ENSG00000133477,1.34036990807e-15,1.15582290785e-12
8715,SCML4,ENSG00000146285,ENSG00000146285,1.44648505379e-15,1.15582290785e-12
10698,CAPN2,ENSG00000162909,ENSG00000162909,1.46180534479e-15,1.15582290785e-12
6454,SLC6A11,ENSG00000132164,ENSG00000132164,1.71053077836e-15,1.29368186477e-12
5763,WNK4,ENSG00000126562,ENSG00000126562,1.80863545256e-15,1.31088390405e-12
11005,RPL39L,ENSG00000163923,ENSG00000163923,2.14665402331e-15,1.49364186942e-12
10283,SLC37A1,ENSG00000160190,ENSG00000160190,2.27340674449e-15,1.52099655078e-12
2676,RGCC,ENSG00000102760,ENSG00000102760,2.45190318653e-15,1.57966133073e-12
1202,EVC,ENSG00000072840,ENSG00000072840,2.68757547302e-15,1.66965626262e-12
1569,ITGB5,ENSG00000082781,ENSG00000082781,3.12451691161e-15,1.81169905592e-12
5272,P4HA1,ENSG00000122884,ENSG00000122884,3.0546124077e-15,1.81169905592e-12
5424,PTGIS,ENSG00000124212,ENSG00000124212,3.70861302115e-15,2.08101043558e-12
988,PFKP,ENSG00000067057,ENSG00000067057,4.2122628264e-15,2.28975974579e-12
11324,DIRAS2,ENSG00000165023,ENSG00000165023,4.58842004465e-15,2.41865353566e-12
14137,MSC,ENSG00000178860,ENSG00000178860,5.7770253825e-15,2.84856054806e-12
9991,SLC34A2,ENSG00000157765,ENSG00000157765,5.89526759012e-15,2.84856054806e-12
9703,TMEM55A,ENSG00000155099,ENSG00000155099,5.76432303655e-15,2.84856054806e-12
14581,CLDN7,ENSG00000181885,ENSG00000181885,6.69860578057e-15,3.14924993387e-12
1681,EPDR1,ENSG00000086289,ENSG00000086289,8.19078122933e-15,3.74943788116e-12
4648,CDK18,ENSG00000117266,ENSG00000117266,1.21663726925e-14,5.42651417914e-12
4366,CLIP4,ENSG00000115295,ENSG00000115295,1.29247075147e-14,5.62063218044e-12
13392,PHLDA3,ENSG00000174307,ENSG00000174307,1.50645315798e-14,6.39140309343e-12
4839,C1orf198,ENSG00000119280,ENSG00000119280,1.61836918873e-14,6.70274572333e-12
3243,NPTX2,ENSG00000106236,ENSG00000106236,1.70704765871e-14,6.80640309556e-12
7342,LRRC1,ENSG00000137269,ENSG00000137269,1.72165413167e-14,6.80640309556e-12
1969,EZR,ENSG00000092820,ENSG00000092820,1.88348717595e-14,7.28072431679e-12
1471,MOXD1,ENSG00000079931,ENSG00000079931,1.98627746675e-14,7.51115142045e-12
9401,HOMER1,ENSG00000152413,ENSG00000152413,2.25189038899e-14,8.33439006733e-12
10280,TMPRSS3,ENSG00000160183,ENSG00000160183,2.3603036022e-14,8.5536419084e-12
6634,BEX2,ENSG00000133134,ENSG00000133134,2.41268601913e-14,8.5650353679e-12
8606,OSMR,ENSG00000145623,ENSG00000145623,2.49266986675e-14,8.67199846643e-12
4891,LTBP2,ENSG00000119681,ENSG00000119681,2.60175900024e-14,8.8740387861e-12
9937,MMP14,ENSG00000157227,ENSG00000157227,2.87533713622e-14,9.45902565546e-12
14740,ANXA2,ENSG00000182718,ENSG00000182718,2.88202563805e-14,9.45902565546e-12
4024,ARFGEF3,ENSG00000112379,ENSG00000112379,3.15076091761e-14,1.01495344744e-11
15002,DNAH2,ENSG00000183914,ENSG00000183914,3.39188781356e-14,1.0727616094e-11
7393,SULF1,ENSG00000137573,ENSG00000137573,3.79595726102e-14,1.15843292203e-11
9714,GOLGA7B,ENSG00000155265,ENSG00000155265,3.78823131084e-14,1.15843292203e-11
7513,STAMBPL1,ENSG00000138134,ENSG00000138134,4.13505430806e-14,1.24015982222e-11
35,DBNDD1,ENSG00000003249,ENSG00000003249,4.27294031363e-14,1.25979316535e-11
15069,TACSTD2,ENSG00000184292,ENSG00000184292,4.97734272445e-14,1.44301461153e-11
14429,BHLHE22,ENSG00000180828,ENSG00000180828,5.32834028255e-14,1.49494321314e-11
17149,COL15A1,ENSG00000204291,ENSG00000204291,5.32453234503e-14,1.49494321314e-11
1242,GLI2,ENSG00000074047,ENSG00000074047,5.4953900999e-14,1.51733826647e-11
6877,COL4A2,ENSG00000134871,ENSG00000134871,5.70327325264e-14,1.55013184734e-11
2234,TSPO,ENSG00000100300,ENSG00000100300,6.01862551154e-14,1.58836664624e-11
11456,DACT1,ENSG00000165617,ENSG00000165617,6.02657077619e-14,1.58836664624e-11
13530,PACS1,ENSG00000175115,ENSG00000175115,6.18179774679e-14,1.60496077321e-11
3309,AEBP1,ENSG00000106624,ENSG00000106624,6.3308675224e-14,1.61949177283e-11
5515,SOX4,ENSG00000124766,ENSG00000124766,6.75498354975e-14,1.70294114272e-11
14970,SLC35F3,ENSG00000183780,ENSG00000183780,6.86185668066e-14,1.70517138514e-11
15729,COL4A1,ENSG00000187498,ENSG00000187498,7.61555644832e-14,1.86581132984e-11
