"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	55	-6.006	0.9999	1	6.006	0.00015277	0.00088799	17.44	4.1513e-07	7.0194e-06	24	8.8976	0.074136	0.39323	31	15.401	4.0611e-09	1.8884e-07
"KEGG_CITRATE_CYCLE_TCA_CYCLE"	29	-0.15881	0.82583	1	0.15881	0.17888	0.53664	5.5243	0.66035	0.87218	15	3.5845	0.76783	0.99929	14	4.2405	0.41211	0.74564
"KEGG_PENTOSE_PHOSPHATE_PATHWAY"	23	0.56548	0.69673	1	-0.56548	0.3105	0.7599	8.0872	0.075797	0.21361	13	5.4503	0.31982	0.76755	10	6.0505	0.051895	0.19699
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS"	18	-9.9357	1	1	9.9357	5.6675e-08	7.0277e-07	11.787	3.9578e-05	0.00043303	3	3.097	0.31065	0.766	15	11.527	4.8153e-06	5.821e-05
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	32	3.0003	0.33899	0.79813	-3.0003	0.66281	1	8.727	0.12665	0.29445	22	6.0577	0.48402	0.89137	10	6.6264	0.025153	0.11139
"KEGG_GALACTOSE_METABOLISM"	22	-0.3761	0.83123	1	0.3761	0.17082	0.53346	7.1789	0.17198	0.3516	11	4.9151	0.35364	0.78643	11	5.2375	0.15921	0.44198
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM"	16	-11.86	1	1	11.86	5.6731e-10	1.0552e-08	11.171	0.0001208	0.0011235	1	0.6478	0.63211	0.99929	15	11.37	7.3379e-06	7.5825e-05
"KEGG_FATTY_ACID_METABOLISM"	41	-15.516	1	1	15.516	1.1213e-14	1.0428e-12	15.476	3.1107e-06	4.4507e-05	8	0.57981	0.95179	0.99929	33	16.965	4.9586e-12	4.6115e-10
"KEGG_STEROID_BIOSYNTHESIS"	15	-10.584	1	1	10.584	3.2533e-08	4.3223e-07	10.305	0.0007473	0.0045261	2	0.52126	0.75138	0.99929	13	10.865	1.6221e-05	0.00015086
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"	15	-6.9579	0.99993	1	7.1504	6.1297e-05	0.00040719	11.485	6.6564e-05	0.00068783	2	7.4237	0.00060108	0.010164	13	9.4246	0.00044637	0.0028629
"KEGG_STEROID_HORMONE_BIOSYNTHESIS"	43	-11.252	1	1	11.252	3.1033e-10	7.2152e-09	17.209	6.3972e-08	1.4873e-06	9	7.87	0.013179	0.12257	34	15.304	1.0626e-08	2.8234e-07
"KEGG_OXIDATIVE_PHOSPHORYLATION"	104	-6.4445	1	1	6.4445	2.3024e-06	2.519e-05	9.43	0.93347	0.99993	38	2.8874	0.99735	0.99929	66	9.6465	0.23804	0.55345
"KEGG_PURINE_METABOLISM"	146	2.4782	0.82235	1	-2.4782	0.18903	0.55808	18.119	0.012438	0.047214	88	12.507	0.36039	0.78643	58	13.342	0.00069766	0.0041859
"KEGG_PYRIMIDINE_METABOLISM"	93	-1.7032	0.99128	1	1.7032	0.0098186	0.05073	14.055	0.061393	0.1872	51	7.7997	0.75262	0.99929	42	12.32	0.0003899	0.00259
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"	30	2.8886	0.35863	0.82226	-2.8886	0.64491	1	11.94	0.00075435	0.0045261	17	9.7631	0.0056353	0.058232	13	6.9741	0.028414	0.12291
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"	31	-11.99	1	1	11.99	8.8792e-10	1.5014e-08	10.791	0.0095067	0.039295	5	-0.61939	0.97316	0.99929	26	12.054	3.8263e-05	0.0003235
