"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	58	-4.8472	0.99772	1	5.1396	0.0018818	0.010607	15.741	0.014221	0.061512	26	8.032	0.62593	0.9993	32	13.952	3.0035e-05	0.00039904
"KEGG_CITRATE_CYCLE_TCA_CYCLE"	29	-0.99478	0.8817	1	0.99478	0.13152	0.40103	5.1399	0.90592	0.98478	10	5.1933	0.54258	0.9993	19	2.5825	0.93055	0.99792
"KEGG_PENTOSE_PHOSPHATE_PATHWAY"	24	-0.43952	0.78793	1	0.89404	0.17744	0.51567	7.0333	0.54667	0.75608	12	4.2715	0.77117	0.9993	12	5.675	0.19067	0.52932
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS"	19	-8.7908	0.99992	1	8.7908	9.3992e-05	0.00092013	9.3664	0.07774	0.19808	4	0.8442	0.85016	0.99999	15	10.106	0.0015541	0.010706
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	33	3.0065	0.36424	0.78777	-2.6189	0.60065	1	11.75	0.062189	0.17796	17	10.215	0.095776	0.40761	16	6.3462	0.19988	0.54672
"KEGG_GALACTOSE_METABOLISM"	24	1.2064	0.58046	1	-0.75192	0.37266	0.88865	8.8131	0.23985	0.44087	12	7.233	0.30299	0.74928	12	5.2306	0.26535	0.64096
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM"	17	-11.022	1	1	11.022	1.6505e-06	2.3615e-05	9.4795	0.054786	0.16175	0	NA	NA	NA	17	9.4795	0.0052377	0.029521
"KEGG_FATTY_ACID_METABOLISM"	41	-15.285	1	1	15.285	2.7607e-11	1.5488e-09	16.737	0.0004699	0.004162	8	2.5545	0.84666	0.99999	33	17.398	1.7358e-09	8.0713e-08
"KEGG_STEROID_BIOSYNTHESIS"	16	-10.482	1	1	10.482	2.2447e-06	2.9823e-05	10.782	0.010275	0.049004	3	0.87665	0.81154	0.99999	13	11.541	4.7605e-05	0.00052086
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"	15	-7.9859	0.99983	1	8.4322	0.00012404	0.0011535	13.015	0.00033908	0.0035038	2	7.9203	0.010367	0.086236	13	10.874	0.00019984	0.00177
