"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	58	1.5823	0.24092	0.47672	-1.5823	0.75908	1	0.69007	0.028798	0.22318	36	0.51098	0.15286	0.53299	22	0.46681	0.051515	0.36853
"KEGG_CITRATE_CYCLE_TCA_CYCLE"	29	1.1635	0.28098	0.53258	-1.1635	0.71902	1	-1.2524	0.64713	0.83588	17	-0.45241	0.52129	0.88146	12	-1.4084	0.71682	0.98263
"KEGG_PENTOSE_PHOSPHATE_PATHWAY"	24	1.9675	0.067102	0.18244	-1.9675	0.9329	1	-0.4513	0.3612	0.60717	17	0.019345	0.34774	0.72446	7	-0.8658	0.59592	0.98263
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS"	19	0.014877	0.72084	0.97866	-0.014877	0.27916	1	-1.6605	0.8207	0.96006	10	-1.5639	0.89613	1	9	-0.7642	0.53068	0.98263
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	33	2.9648	0.0044167	0.024894	-2.9648	0.99558	1	0.185	0.14857	0.40193	27	0.059158	0.28913	0.72446	6	0.30838	0.19645	0.81201
"KEGG_GALACTOSE_METABOLISM"	24	2.1272	0.047229	0.14401	-2.1272	0.95277	1	-1.3336	0.6917	0.87204	20	-1.3892	0.81119	0.96717	4	-0.16021	0.37249	0.89908
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM"	17	-0.53101	0.87921	1	0.53101	0.12079	0.64418	-1.0322	0.64173	0.83588	9	-1.66	0.90785	1	8	0.25601	0.16726	0.75879
"KEGG_FATTY_ACID_METABOLISM"	41	-3.0195	0.99999	1	3.0195	1.1382e-05	0.0010585	1.0889	0.019149	0.17809	12	-0.42871	0.53487	0.89526	29	1.5705	0.0022015	0.10237
"KEGG_STEROID_BIOSYNTHESIS"	16	3.1085	0.0026309	0.018105	-3.1085	0.99737	1	0.87547	0.061381	0.30542	14	1.2047	0.067786	0.3317	2	-0.71125	0.64952	0.98263
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"	15	-0.065176	0.71417	0.97866	0.065176	0.28583	1	-0.68014	0.53753	0.75173	7	-0.43489	0.54861	0.89526	8	-0.52451	0.42897	0.89908
"KEGG_STEROID_HORMONE_BIOSYNTHESIS"	44	0.64689	0.57485	0.88093	-0.64689	0.42515	1	0.27034	0.09063	0.35867	26	-0.40988	0.47301	0.83544	18	0.91528	0.020725	0.25699
"KEGG_OXIDATIVE_PHOSPHORYLATION"	108	-0.83772	0.98991	1	0.83772	0.010093	0.1043	-3.7433	0.97631	1	51	-3.1088	0.99225	1	57	-2.212	0.6577	0.98263
"KEGG_PURINE_METABOLISM"	148	1.974	0.30599	0.56351	-1.974	0.69401	1	-0.56841	0.077119	0.326	84	0.64509	0.065451	0.32902	64	-1.6034	0.38011	0.89908
"KEGG_PYRIMIDINE_METABOLISM"	94	2.2627	0.10368	0.25044	-2.2627	0.89632	1	-0.62596	0.15831	0.40193	54	1.1492	0.040389	0.25698	40	-2.2948	0.78281	0.98263
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"	31	-0.60428	0.91999	1	0.60428	0.080012	0.53151	-0.54838	0.36974	0.61404	15	-1.1051	0.76657	0.95437	16	0.30669	0.094845	0.56907
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"	31	-1.6325	0.9944	1	1.6325	0.0055957	0.073208	-0.83701	0.48163	0.69662	13	-1.957	0.92575	1	18	0.56472	0.04622	0.35541
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM"	34	-2.2694	0.9995	1	2.2694	0.00049991	0.013283	-1.1867	0.58442	0.79445	11	-2.1229	0.96028	1	23	0.025299	0.13266	0.68287
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	43	-2.7569	0.99997	1	2.7569	3.1646e-05	0.0014715	0.1702	0.14097	0.40193	13	-1.4038	0.82229	0.96801	30	1.1279	0.0052076	0.18602
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS"	10	2.6735	0.004779	0.025397	-2.6735	0.99522	1	2.0438	0.0066235	0.076795	7	2.6945	0.0021966	0.034078	3	-0.38458	0.47412	0.95178
"KEGG_LYSINE_DEGRADATION"	39	-1.744	0.99664	1	1.744	0.0033616	0.056841	0.13759	0.12391	0.40193	16	-1.1276	0.76576	0.95437	23	1.1197	0.01346	0.19258
"KEGG_ARGININE_AND_PROLINE_METABOLISM"	50	-0.96341	0.97683	1	0.96341	0.023168	0.21087	-0.32467	0.20211	0.45545	23	-0.93953	0.68767	0.89986	27	0.42533	0.036803	0.33944
"KEGG_HISTIDINE_METABOLISM"	27	-0.76766	0.94331	1	0.76766	0.056694	0.39056	0.2402	0.14325	0.40193	14	-0.85289	0.68287	0.89986	13	1.2313	0.014593	0.19388
