"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	58	-1.1796	0.73987	1	1.1796	0.26013	0.67199	0.3583	0.27501	0.60887	29	-1.262	0.7341	0.93411	29	1.7687	0.074105	0.64473
"KEGG_CITRATE_CYCLE_TCA_CYCLE"	29	-1.3513	0.8377	1	1.3513	0.1623	0.55902	0.65971	0.2046	0.52855	11	0.34124	0.24165	0.65772	18	0.57061	0.3533	0.7794
"KEGG_PENTOSE_PHOSPHATE_PATHWAY"	25	-2.5596	0.98405	1	2.5596	0.015954	0.21686	1.027	0.12171	0.46061	11	-1.7206	0.90049	0.93411	14	2.8975	0.0047919	0.27201
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS"	19	1.0075	0.086027	0.55359	-1.0075	0.91397	1	0.27736	0.34009	0.63187	13	-0.043314	0.35013	0.71515	6	0.55733	0.32543	0.7794
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM"	33	-3.0123	0.99295	1	3.0123	0.0070462	0.16382	1.3667	0.063344	0.34653	9	-0.6078	0.58037	0.86846	24	1.9748	0.054135	0.63236
"KEGG_GALACTOSE_METABOLISM"	24	-1.682	0.89758	1	1.682	0.10242	0.45356	-0.028417	0.439	0.70783	9	-1.1917	0.77363	0.93411	15	0.88718	0.25111	0.70768
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM"	17	0.86861	0.12872	0.6139	-0.86861	0.87128	1	2.1124	0.01825	0.27808	10	1.6884	0.021229	0.22821	7	1.2739	0.13673	0.68758
"KEGG_FATTY_ACID_METABOLISM"	41	2.5544	0.0011279	0.026224	-2.5544	0.99887	1	0.24722	0.29134	0.60887	26	1.493	0.023312	0.22821	15	-1.5569	0.94849	0.99973
"KEGG_STEROID_BIOSYNTHESIS"	16	-2.7104	0.9914	1	2.7104	0.0085975	0.17768	0.55302	0.2596	0.59278	5	-1.131	0.80258	0.93411	11	1.4295	0.11862	0.67216
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS"	15	-0.73751	0.69263	1	0.73751	0.30737	0.7445	0.55807	0.25534	0.59278	6	0.28375	0.27862	0.68156	9	0.48878	0.36069	0.7794
"KEGG_STEROID_HORMONE_BIOSYNTHESIS"	43	-0.54812	0.5278	1	0.54812	0.4722	0.96059	1.8843	0.02093	0.27808	23	0.21022	0.2252	0.65392	20	2.5374	0.015967	0.28687
"KEGG_OXIDATIVE_PHOSPHORYLATION"	108	4.6012	7.2221e-08	1.3433e-05	-4.6012	1	1	0.97314	0.089338	0.38644	67	3.1284	5.4084e-05	0.0025149	41	-2.4198	0.99064	0.99973
"KEGG_PURINE_METABOLISM"	148	-2.2123	0.90727	1	2.2123	0.092735	0.44713	2.3907	0.0033525	0.15589	67	0.15535	0.14093	0.56986	81	3.0903	0.0058497	0.27201
"KEGG_PYRIMIDINE_METABOLISM"	94	-3.7613	0.99878	1	3.7613	0.001221	0.045422	2.4376	0.0028769	0.15589	32	0.26689	0.17409	0.58775	62	2.8097	0.0087545	0.28644
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"	31	-0.59124	0.5896	1	0.59124	0.4104	0.90875	-0.82659	0.70891	0.87557	15	-1.6317	0.8598	0.93411	16	0.42928	0.38894	0.79497
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"	31	0.28455	0.24935	0.73618	-0.28455	0.75065	1	1.0724	0.098169	0.40576	15	1.1533	0.061766	0.4103	16	0.37601	0.40757	0.80403
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM"	34	0.71492	0.12616	0.6139	-0.71492	0.87384	1	1.5897	0.042732	0.34653	18	1.422	0.030723	0.28572	16	0.80917	0.26551	0.71115
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	43	1.103	0.055774	0.54599	-1.103	0.94423	1	-0.82299	0.71552	0.87557	23	0.16021	0.23973	0.65772	20	-1.3785	0.91631	0.99973
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS"	10	-1.845	0.95291	1	1.845	0.047095	0.31284	1.0341	0.1409	0.46624	3	-0.19739	0.49882	0.83017	7	1.3652	0.11925	0.67216
"KEGG_LYSINE_DEGRADATION"	39	-0.48636	0.50579	1	0.48636	0.49421	0.96059	0.43489	0.26268	0.59278	19	0.062222	0.26961	0.67419	20	0.54664	0.36213	0.7794
"KEGG_ARGININE_AND_PROLINE_METABOLISM"	50	0.075982	0.27823	0.7724	-0.075982	0.72177	1	1.3977	0.061281	0.34653	26	0.95762	0.070199	0.43524	24	1.0207	0.22399	0.68758
"KEGG_HISTIDINE_METABOLISM"	27	0.16131	0.28756	0.78655	-0.16131	0.71244	1	-0.43453	0.57217	0.77119	15	-0.56402	0.52998	0.84253	12	-0.021195	0.53584	0.92353
"KEGG_TYROSINE_METABOLISM"	37	1.8021	0.012216	0.17478	-1.8021	0.98778	1	0.27613	0.31631	0.61222	24	0.4688	0.1355	0.56986	13	-0.17112	0.60722	0.93247
"KEGG_PHENYLALANINE_METABOLISM"	15	1.7134	0.024616	0.26933	-1.7134	0.97538	1	-0.12223	0.48694	0.72648	10	0.55147	0.17696	0.58775	5	-0.99161	0.83558	0.98365
"KEGG_TRYPTOPHAN_METABOLISM"	37	0.69635	0.12679	0.6139	-0.69635	0.87321	1	-0.29775	0.53047	0.74039	19	0.35708	0.18345	0.59327	18	-0.79376	0.81941	0.98365
"KEGG_BETA_ALANINE_METABOLISM"	22	1.0137	0.090247	0.55359	-1.0137	0.90975	1	0.27792	0.31672	0.61222	10	2.0142	0.0095196	0.14091	12	-1.4624	0.91309	0.99973
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM"	10	-0.37807	0.57639	1	0.37807	0.42361	0.91618	-0.13777	0.51576	0.74039	3	0.91755	0.13705	0.56986	7	-0.76534	0.78033	0.98365
"KEGG_SELENOAMINO_ACID_METABOLISM"	25	-2.3726	0.97502	1	2.3726	0.024982	0.23234	1.9391	0.020435	0.27808	8	0.36896	0.24983	0.66124	17	2.0984	0.036329	0.51979
"KEGG_GLUTATHIONE_METABOLISM"	45	-2.3816	0.96875	1	2.3816	0.031246	0.26417	1.4682	0.049293	0.34653	19	-0.6398	0.52887	0.84253	26	2.4784	0.017705	0.28687
"KEGG_STARCH_AND_SUCROSE_METABOLISM"	37	-0.45294	0.50421	1	0.45294	0.49579	0.96059	1.5308	0.045483	0.34653	18	0.77093	0.10829	0.54552	19	1.3859	0.13129	0.68758
"KEGG_N_GLYCAN_BIOSYNTHESIS"	44	-5.3614	1	1	5.3614	2.8823e-07	5.3611e-05	3.3823	0.00049174	0.053027	9	-0.024618	0.36525	0.71515	35	3.8048	0.00066348	0.061703
"KEGG_OTHER_GLYCAN_DEGRADATION"	15	-1.8298	0.94565	1	1.8298	0.054348	0.32681	-0.049947	0.46051	0.70992	3	0.27465	0.32105	0.7109	12	-0.19317	0.59542	0.93247
"KEGG_O_GLYCAN_BIOSYNTHESIS"	24	-0.25727	0.44239	0.96806	0.25727	0.55761	1	1.5029	0.053724	0.34653	13	0.60378	0.15955	0.58191	11	1.5635	0.09634	0.64473
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM"	43	-2.7889	0.98994	1	2.7889	0.010064	0.18139	0.5257	0.23334	0.574	12	-0.27104	0.45864	0.78988	31	0.78778	0.2878	0.75395
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"	20	-1.2047	0.80756	1	1.2047	0.19244	0.58856	-1.8958	0.94319	0.98985	6	-1.6413	0.90638	0.93411	14	-1.1914	0.87791	0.99973
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE"	22	-1.4817	0.88397	1	1.4817	0.11603	0.47959	-0.56713	0.62307	0.81813	9	-1.4737	0.84506	0.93411	13	0.48841	0.37436	0.78238
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"	14	-1.7796	0.93148	1	1.7796	0.068518	0.37483	1.2966	0.07747	0.36947	5	-0.12546	0.44421	0.78809	9	1.7107	0.069453	0.64473
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE"	24	-2.2175	0.96398	1	2.2175	0.03602	0.26799	-0.56257	0.6385	0.8305	8	-1.676	0.90734	0.93411	16	0.49609	0.36593	0.7794
